Seq_A,Seq_B,strategy_A,strategy_B,hamming
2,5,winner-stack,gold-rush,2
1,2,safe-baseline,winner-stack,3
3,6,sfGFP-control-minus,high-risk-monomer-superboost,3
4,5,boost-engine,gold-rush,4
1,5,safe-baseline,gold-rush,5
1,4,safe-baseline,boost-engine,5
2,4,winner-stack,boost-engine,6
2,3,winner-stack,sfGFP-control-minus,8
5,6,gold-rush,high-risk-monomer-superboost,10
1,3,safe-baseline,sfGFP-control-minus,10
3,5,sfGFP-control-minus,gold-rush,10
2,6,winner-stack,high-risk-monomer-superboost,10
4,6,boost-engine,high-risk-monomer-superboost,11
1,6,safe-baseline,high-risk-monomer-superboost,12
3,4,sfGFP-control-minus,boost-engine,13
