idx,year,length,passes_all,verdict
0,2024,238,True,len | M | AA
1,2024,238,True,len | M | AA
2,2024,238,True,len | M | AA
3,2024,238,True,len | M | AA
4,2024,238,True,len | M | AA
5,2024,238,True,len | M | AA
6,2024,238,True,len | M | AA
7,2024,238,True,len | M | AA
8,2024,238,True,len | M | AA
9,2024,238,True,len | M | AA
10,2025,238,True,len | M | AA
11,2025,238,True,len | M | AA
12,2025,238,True,len | M | AA
13,2025,238,True,len | M | AA
14,2025,238,True,len | M | AA
15,2025,238,True,len | M | AA
16,2025,238,True,len | M | AA
17,2025,238,True,len | M | AA
18,2025,238,True,len | M | AA
19,2025,238,True,len | M | AA
